,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
1272,이토록 보통의,캐롯,판타지 드라마,"평범한 연인들이 맞이하는 특별하고 극단적인 상황들.

여자친구의 전 연인이 에이즈 환자였다는 것을 알게 된 남자와 
연인의 말들이 모두 거짓이었다는 것을 알게 된 여자.

사랑은 없지만 불만도 없었던 결혼 생활 중 
강하게 끌리는 상대를 만나게 된 남자 등.

<이토록 보통의>는 다양한 사랑의 민낯들이 나열되는 
옴니버스식 웹툰입니다. 

사랑이 더 이상 아름답지만은 않다는 것을 깨닫고도, 
연인들은 사랑을 이어갈 수 있을까요? ",https://webtoon.kakao.com/content/이토록-보통의/1351,https://kr-a.kakaopagecdn.com/P/C/1351/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['거짓', '민낯', '맞이', '버스', '보통']"
1273,백의조각,홍일,공포/스릴러,"백의 일가 사람들은 저주로 인해
15년마다 신체 일부를 바쳐야 한다.

이를 몰랐던 혼외 자식 '윤지호' 는
그들의 꾀임에 넘어가 한쪽 눈을 잃고 만다.

15년 뒤, 윤지호의 딸이 똑같이
신체 일부를 잃게 될 위기에 처하자
윤지호는 딸을 위해 백의 일가를 무너뜨릴 계획을 세운다.

그리고 그 선택은 파멸을 몰고 오는데...",https://webtoon.kakao.com/content/백의조각/2150,https://kr-a.kakaopagecdn.com/P/C/2150/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['백의', '일부', '신체', '일가', '선택']"
1274,"황녀, 반역자를 각인시키다","수리, 사공, 이린비",로맨스 판타지,"호문클루스에 의해 황실은 망하고 제7황녀, 이뷔엔로즈는 그들 편에 선 동생에 의해 독약을 마시고 죽는다. 다시 눈을 떴을 때, 8년 전으로 돌아와 있었고 그녀는 황실의 몰락을 막기 위해 호문클루스들의 왕이자 공중감옥의 괴물 '미카엘'을 자신의 기사로 들이기로 한다.

""""미카엘, 난 그대가 필요해. 아주 절실하게 말이야.""""""",https://webtoon.kakao.com/content/황녀-반역자를-각인시키다/2553,https://kr-a.kakaopagecdn.com/P/C/2553/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['루스', '황실', '미카엘', '이자', '감옥']"
1275,록사나 : 여주인공의 오빠를 지키는 방법,"백지연, 여름빛, 킨",로맨스 판타지,"어쩌다 보니 19금 역하렘 소설에 빙의했다.
문제는 내가 악역 서브남의 누나가 되었다는 건데...
망할 아버지가 기어이 여자 주인공의 오빠를 납치해 왔다.
 
이제 여주인공의 가문에 복수 당해 몰락할 일만 남은 건가.
아아, 데드 플래그 피하기 진짜 힘들다.
 
""이번 장난감에는 저도 흥미가 있어요.""
 
오빠, 이렇게 된 이상 내가 지켜줄게요.
그러니까 이 은혜는 나중에 꼭 갚아요, 알았죠?",https://webtoon.kakao.com/content/록사나-여주인공의-오빠를-지키는-방법/2466,https://kr-a.kakaopagecdn.com/P/C/2466/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['주인공', '기어이', '납치', '누나', '서브']"
1276,루시아,"TARUVI, 하늘가리기",로맨스 판타지,"꿈을 통해 자신의 인생을 알고 있는 루시아, 그녀는 왕국의 열여섯 번째 공주다. 꿈속에서 겪은 끔찍한 결혼 생활의 기억은 너무나 생생한데...
자신의 인생을 바꾸기 위해 전장의 흑사자라 소문난 무시무시한 바람둥이 휴고 타란 공작에게 파격적인 계약 결혼을 제시하게 된다. 이 계약은 성사될 수 있을 것인가?",https://webtoon.kakao.com/content/루시아/2616,https://kr-a.kakaopagecdn.com/P/C/2616/sharing/2x/ff20a3d7-f404-4fff-8f9d-360ad1c15b1d.jpg,카카오웹툰,"['인생', '꿈속', '바람둥이', '생활', '결혼']"
1277,거부할 수 없는 운명,"이종은, KOOdO, 이미은",로맨스,"쌍생아로 태어나 병약한 오라비를 위해 자신을 감추고 살아온 자하국의 공주, 자설란. 
아버지인 왕 혜조의 일방적인 부마 간택이 달갑지 않으면서도, 이를 자신의 거짓된 삶으로부터 벗어날 기회로 삼는다.

그런데 순탄할 것만 같았던 혼인은 유일한 부마 후보 최지환의 거부로 난관에 부딪치고, 급기야 최지환은 자신의 비밀을 드러내고 만다.

""""저는 저주받은 괴물입니다. 부디 이 혼사를 물러주십시오.""""

자설란은 어차피 자신들에게 다른 선택지는 없다며 도리어 최지환에게 서둘러 혼사를 진행하리라 단언한다. 하지만, 그들에겐 저주보다 더 참혹한 진실이 기다리고 있었는데… 

저주에 사로잡힌 불우한 영혼 최지환, 저주보다 더한 족쇄에서 살아남은 꽃 자설란.

기적이라는 이름의 거부할 수 없는 그들의 운명은 어디로 향할 것인가?
",https://webtoon.kakao.com/content/거부할-수-없는-운명/2540,https://kr-a.kakaopagecdn.com/P/C/2540/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['자설', '최지환', '부마', '거부', '쌍생아']"
1278,악녀의 남주님,"도파민, CreativeSUMM, 강미강",로맨스 판타지,"유니페 마그놀리아.

여주인공 라엘 카니아의 친구이자 악녀.

소설 속 유니페는
남주 이시드를 사랑하여
그의 사랑을 받는 라엘을 질투해 괴롭히다가
남조 카시안에게

죽임을 당하는 운명이다…

그런데,

""내가 왜 유니페가 된 거야!!""


하지만 다시 생각해보자.

유니페가 죽임을 당하는 건 1년 후니까
일단 이시드를 만나다가
이시드와 라엘이 만나면
빠져나오면 되니까,

일단 만나보는 거야!

그런데,
해도해도 너무 다정하고 따듯한 이 남자와
과연 헤어질 수 있을까?

『악녀의 남주님』 지금부터 시작합니다!
",https://webtoon.kakao.com/content/악녀의-남주님/2515,https://kr-a.kakaopagecdn.com/P/C/2515/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['악녀', '남조', '소설', '운명', '유니페']"
1279,화홍,"서윤영, 이지환",로맨스,"<1부>
 단국의 고고하고 잘난 ‘욱제’ 전하, 어리고 못난 ‘소혜’ 아씨를 중전으로 맞이하였도다. 
 허나 욱제 전하, 잉첩인 ‘희란’만 어여삐 여기고, 
 조강지처 소혜 아씨, 소박만 주는구나. 
 외롭고 힘든 궁궐 생활 홀로 버텨내던 중전마마, 
 이제 회임할 수 있는 진짜 여인이 되었으니! 
 어느 순간 욱제 전하의 눈길이 중전마마에게로 향하는 것인데ㅡ
 두 지존마마, 과연 귀한 사랑의 결실을 이룰 수 있을 것인가? 
 
 로맨스 장편 소설의 대가 이지환 작가의 원작 [화홍]이 
 본격 궁중 로맨스 만화로 재탄생!!! 
 
 ------------------------------------------------------------------------------------------
 
 <2부>
 욱제 전하와 소혜 마마 슬하 
 네 분의 왕자님과 두 분의 공주를 두셨으니, 
 이는 단국의 큰 복이라~ 
 장성하시어 세자빈을 맞이할 보령되신 단국의 세자저하, 
 예전부터 맘에 품었던 처자 ‘연희’ 아씨 계셨으나 
 연희 아씨 성정 보통 아니라. 
 세자빈 되겠노라 저하와 약조해두곤 도망치기 일쑤로구나. 
 겨우겨우 세자빈 간택은 되었으나 
 간택된 날조차도 궐 담 넘겠다 아둥바둥하던 연희 아씨, 
 미리 아씨를 기다리고 있던 세자저하에게 보쌈당해버리니! 
 그 밤에 세자저하와 연희 아씨 과연 무슨 일이 있었으려나~?!
 
 더욱 화려하고 더욱 색(色)스러워진 <화홍> 2부! 
 각양각색 스타일의 구중궁궐 연애담을 지금 만나보세요~",https://webtoon.kakao.com/content/화홍/2313,https://kr-a.kakaopagecdn.com/P/C/2313/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['연희', '세자빈', '아씨', '전하', '세자']"
1280,나는 될놈이다,"서윤교, 글쓰는기계",학원/판타지,"모든 걸 완벽하게 소화하며 잘하기에 주인공은 어디서든 될 수 밖에 없는 인재, 그렇기 때문에 게임 안에서 아무도 하지 않는 기행을 하며 정점을 노린다. 
될 놈은 되게 되어있다! 엄청난 행운으로 불가능한 퀘스트도 주인공의 행운에는 속수무책. 
행운으로 게임을 정복한다!",https://webtoon.kakao.com/content/나는-될놈이다/2339,https://kr-a.kakaopagecdn.com/P/C/2339/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['주인공', '게임', '인재', '판타지', '서든']"
1281,꽃을 문 짐승,"주렁, 야샌, 솔땀",로맨스 판타지,"사랑을 얻기 위해 한마리의 강아지가 된
사나운 짐승 무영과
그의 본 모습을 모른 채 능숙(?)하게
대형견 조련에 성공한 화연의
두근두근 동양 코믹 궁중 로맨스!",https://webtoon.kakao.com/content/꽃을-문-짐승/2564,https://kr-a.kakaopagecdn.com/P/C/2564/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['무영', '사랑', '강아지', '동양', '마리']"
1282,쌍둥이 남매의 뉴라이프,"NICCA, 김승원(REDICE STUDIO), 아이데라",로맨스 판타지,"""둘의 이름은 아르헨과 아리엔이라고 하지.""

평범한 고등학생이자 쌍둥이였던 우리.
갑작스러운 사고로 목숨을 잃은 후 시작된
쌍둥이 남매의 인생 2회차!

폭력적인 어머니와 함께 버려진 성에 방치한
얼음장처럼 차가운 아버지, 황제.

남매의 다섯 번째 생일.
아이들 보기를 돌같이 하던 황제가 갑자기 아이들을 찾는다.

""갑자기 우리를 왜...?""

믿을 사람이라곤 우리 둘뿐!
쌍둥이 남매의 고군분투 황실에서 살아남기 프로젝트!",https://webtoon.kakao.com/content/쌍둥이-남매의-뉴라이프/2523,https://kr-a.kakaopagecdn.com/P/C/2523/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['남매', '쌍둥이', '사고', '생일', '아리']"
