,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
1162,불완전 결혼 컬렉션 [할리퀸],"애비 그린,쿠리하라 마모루",로맨스,"<불완전 결혼 컬렉션 [할리퀸]> 작품 구성


1. 첫 키스의 흔적
2. 억만장자는 결혼을 싫어해
3. 다크 오아시스
4. 하룻밤의 마법
5. 꽃다발을 그대에게
6. 사랑의 세컨드 찬스
7. 사랑을 금한 계약
8. 그의 아내 
9. 위험한 장난
10. 세 번째 청혼
11. 예고대로의 프러포즈
12. 사랑하는 당신에게
13. 칼리타의 연인
14. 유혹의 구도
15. 그대에게 모든 것을 바치리
16. 신랑이 바뀌었어요
17. 문 리버를 당신에게
18. 키스 없는 프러포즈
19. 최고의 사랑
20. 운명의 일요일
21. 뒤돌아선 신부
22. 우정의 축배
23. 변하지 않는 사랑을 마음에
24. 프린스는 플레이보이",https://page.kakao.com/home?seriesId=57345620,https://dn-img-page.kakao.com/download/resource?kid=cTD2f/hy41IMzoI9/fGIyRHa4tnapKhHbymt6XK&filename=th2,카카오페이지,"['사랑', '키스', '포즈', '계약', '마법']"
1163,야설록 절대패왕 컬렉션,야설록,액션무협,"오로지 강한 자만이 이 땅에서 살아남는다!
[야설록 절대패왕 컬렉션]

** 작품 구성 **

1. 절대패왕 [개정판]
2. 귀왕출사 [개정판]
3. 투왕 [개정판]
4. 쾌도난타 [개정판]
5. 절대도황 [개정판]
6. 대전진파 [개정판]
7. 탈명살수 [개정판]",https://page.kakao.com/home?seriesId=53308984,https://dn-img-page.kakao.com/download/resource?kid=ebjoL8/hyZ8vkRDjO/Im1w9e2Y6c3TnMp3i1jVG1&filename=th2,카카오페이지,"['구성', '난타', '절대', '개정판', '작품']"
1164,스위치,"해저500M,하담우,여닫",BL,"아이돌그룹 코스원의 리더 한율.
눈에 띄지 않고 조용한 그는 사실 팀의 인기 멤버 권우를 오랫동안 짝사랑해왔다.
그러던 어느날 권우가 탈퇴 선언을 하고, 그를 말리러 찾아온 한율에게
탈퇴를 철회하는 조건으로 거래를 제안하는데...

동명 웹소설 <스위치>의 웹툰화 작품!

#현대물 #연예계 #아이돌물 #계약 #짝사랑수 #연상수 #단정수 #후회공 #연하공 #개아가공",https://page.kakao.com/home?seriesId=56575765,https://dn-img-page.kakao.com/download/resource?kid=Gt1QR/hySXGs49Gt/aINA08NQbecSP1G3ZVeqi0&filename=th2,카카오페이지,"['짝사랑', '계약', '대물', '상수', '스위치']"
1165,대리 신부 컬렉션 [할리퀸],"에밀리 로즈,후지와라 모토요",로맨스,"<대리 신부 컬렉션 [할리퀸]> 작품 구성

1. 약속의 조건
2. 천일 밤의 꿈에 안겨
3. 다이아몬드를 거절한 신부
4. 대부호와 가짜 신데렐라
5. 사랑하기에 한 거짓말
6. 거짓 입맞춤
7. 5억 유로의 신부
8. 급구! 신부 구함
9. 델 카스틸로 가문의 비밀
10. 금지된 짝사랑
11. 매혹의 계약자
12. 잔혹한 애인 계약
13. 사랑 없는 결혼의 끝에 
14. 달콤한 선물
15. 그녀와 결혼한 이유
16. 사랑 없는 결혼반지
17. 당신은 악마?
18. 사라진 다이아몬드
19. 비밀스러운 거래
20. 거부할 수 없는 애정
21. 계약 남편
22. 복수라는 이름의 유혹
23. 안타까운 혼전 계약
24. 보스와의 계약",https://page.kakao.com/home?seriesId=57148289,https://dn-img-page.kakao.com/download/resource?kid=Kn84g/hy41KXE1pG/uPalnehysnT9JsX2V7SaQk&filename=th2,카카오페이지,"['가짜', '거래', '거짓', '구성', '계약']"
1166,우리 집 우렁이는,당과,로맨스,"우렁이가 사람이 되기 위한 조건은 동거인의 사랑을 얻어내는 것?
평범한 1인가구 중 한 사람인 승하에게 
어느날 우연히 나타난 까칠한 우렁이 '녹조'!
살림 만렙 알뜰살뜰 깔끔쟁이 우렁이와 
바쁜 일상 속에 지치고 외로운 승하의 상큼달콤한 힐링 동거 로맨스♥",https://page.kakao.com/home?seriesId=50764512,https://dn-img-page.kakao.com/download/resource?kid=blrNnb/hynFX6gJk7/6gjXB5knzgoEnTuWOozVKK&filename=th2,카카오페이지,"['동거인', '로맨스', '사랑', '가구', '사람인']"
1167,여우를 구해줘!,오늘뭐먹지,BL,"어릴적부터 남자들의 수많은 구애를 받고 있는 남고생 '홍여울'. 여울은 기가 센 남자의 '정기'를 받는 것이, 이 비정상적인 삶에서 벗어나는 유일한 방법이란 것을 깨닫게 된다. 어느 날 홀연히 여울의 앞에 나타난 '구해준'은 기가 세긴 하지만, 여울에게 관심이 1도 없는 상황. ""엥 나한테 안 반하는 남자도 있었어?"" 과연 여울은 해준으로부터 정기를 받고, 남자들에게서 벗어날 수 있을까? ""나 제발 평범해지고 싶어!!""",https://page.kakao.com/home?seriesId=57179420,https://dn-img-page.kakao.com/download/resource?kid=fmNvW/hyZ8uF05Bi/f1jO2SQ8a9Ds2bcXxlUz9k&filename=th2,카카오페이지,"['남자', '정기', '여울', '평범', '해지']"
1168,불쾌한 모노노케안,와자와 키리,소년,"요괴에게 씌는 바람에 고등학교에 입학한 날부터 7일 내내 보건실로 등교한 아시야.
어떻게든 해결하고 싶어서 매달린 것은 2평짜리 다실 ‘모노노케안’의 주인이었다―!
이런저런 이유로 현세에 흘러들어온 요괴를 구하여 은세로 안내하는, 불쾌한 주인의 요괴기담.
ⓒKiri Wazawa/SQUARE ENIX CO., LTD.",https://page.kakao.com/home?seriesId=50297531,https://dn-img-page.kakao.com/download/resource?kid=kzJwJ/hyfOz0rMto/ImdiDYCBDKUGNgHxIMsQ31&filename=th2,카카오페이지,"['요괴', '노케', '기담', '다실', '모노']"
1169,애증결핍 [BL/개정판],"옥동이,서일",BL,"잘생긴 얼굴 말고는 가진 게 없는백수 박하진. 쇼핑몰 창업 자금을 빌려준다는 누나의 말에, 대한민국 최정상 보이그룹 <에잇나인>의 팬사인회에 대신 가게 된다. 그리고 팬사인회 화장실에서 <에잇나인>의 비주얼이자, 고등학교 동창이었던 이한을 만나게 되는데.. 

뗄레야 뗄 수 없는 관계를 만들기 위한 남자, 그에게서 도망치고 싶은 남자의 프리 러브!",https://page.kakao.com/home?seriesId=53545137,https://dn-img-page.kakao.com/download/resource?kid=bk1d1i/hywgEEAeFs/Z7gRvd3jWbkNN4zTNoa130&filename=th2,카카오페이지,"['나인', '사인', '가게', '대한민국', '그룹']"
1170,나의 남자사람친구,"플라비,김윤지",드라마,"스물한 살의 평범한 대학생, 아라
그녀의 15년 지기 절친이자 뭇 여자들의 마음을 설레게 하는 훈남, 경훈
동성보다 편한, 하나뿐인 남자 사람 친구가 사랑으로 다가오기 시작하는 이야기",https://page.kakao.com/home?seriesId=57312302,https://dn-img-page.kakao.com/download/resource?kid=bsVSvc/hzacdU6PoK/e7k0AVe85r5sPT7yQhGRrK&filename=th2,카카오페이지,"['경훈', '남자', '동성', '마음', '살의']"
1171,야설록 무쌍난무 컬렉션,야설록,액션무협,"<야설록 무쌍난무 컬렉션> 작품 구성

1. 백야흔 [개정판]
2. 투사지몽 [개정판]
3. 탈마귀 [개정판]
4. 항룡유희 [개정판]",https://page.kakao.com/home?seriesId=57165582,https://dn-img-page.kakao.com/download/resource?kid=AoRTR/hyZ8xJuWxS/7ZJpCa1XrtpoSBHBPqsick&filename=th2,카카오페이지,"['마귀', '액션', '유희', '작품', '컬렉션']"
1172,스승 시리즈,"shuu katayama,uni",드라마,"기이한 오컬트 호러 스토리의 시작ㅡ!!

시골에서 지방 도시의 대학으로 진학한 《우니》는 대학 서클에서 한 선배와 만난다.
우니는 그를 《스승님》이라 부르며, 그의 제안에 따라 온갖 기괴한 사건을 체험하게 되는데ㅡㅡ.

SHISHO series
ⓒ uni / shuu katayama 2014 / SHONENGAHOSHA CO.,LTD.",https://page.kakao.com/home?seriesId=54229522,https://dn-img-page.kakao.com/download/resource?kid=hf0V0/hzhOeeBJee/Tg5lo8Buf4rAuA9KkgFdwK&filename=th2,카카오페이지,"['시작', '오컬트', '대학', '도시', '드라마']"
1173,캔디맨,차녹,BL,"온라인 게임에서 '요롱'으로 여자인 척 활동하며, 다른 유저들에게 아이템을 뜯어먹던 규연. 
그런 그에게 염민은 각종 선물을 뿌리며 호감을 나타낸다.
어느 날 갑자기 온라인이 아닌 오프라인에서 만나자고 제안하는 '염민‘

하지만,그의 정체는 근방 최고의 미남으로 유명한 같은 학교의 염기민이였는데.......
하루가 다르게 '요롱'에 대한 집착이 심해지다 결국엔 스토커 짓을 하는 염기민.

점점 두려워지는 규연이 이 난관을 헤쳐나갈 방법은?",https://page.kakao.com/home?seriesId=52019362,https://dn-img-page.kakao.com/download/resource?kid=djbUsO/hyoXCNlIKI/ktZBlSaXprOUmEP0FMyiqk&filename=th2,카카오페이지,"['규연', '온라인', '학교', '집착', '근방']"
1174,리셋하여 만렙 플레이어,"Maeng,유소,소하",소년,"주인공 마도진은 ""KOG""라는 게임에서, 팀원의 계략으로 쓰디쓴 참패를 맛보며 참가 자격까지 박탈당한다. 
그러나 게임을 로그아웃하려던 바로 그 순간! 1년 전 ""KOG""를 시작하던 첫날로 돌아가는데... 

팀원에게 복수하기 위해, 멋진 우승을 거머쥐기 위해 그는 과연 최강 게이머로 거듭날 수 있을까...!",https://page.kakao.com/home?seriesId=54660300,https://dn-img-page.kakao.com/download/resource?kid=wYMic/hyATtSnmvW/Xx1fD7wkrcyqpB22NoaFPk&filename=th2,카카오페이지,"['게임', '아웃', '우승', '시작', '첫날']"
1175,블로섬 데이즈,태양,드라마,"[신임 교사 송지원과 이웃사촌 고등학생 장산하의 풋풋한 순정 만화]

기간제 신임 문학 교사 지원과 고등학생 장산하는 같은 학교에 다닌다. 하지만, 학생에겐 학교가 생활이고, 교사에겐 직장인 것처럼, 그 둘에게 학교는 다른 의미다. 그리고, 서로에 대한 둘의 감정도 같지 않다. 조금씩 어긋난 채 시작된 감정이지만, 그 감정은 조금 느리게 서로 같은 방향을 향해 나아가고 있었다.  그리고 달콤한 향기를 내며 익어가고 있었다.",https://page.kakao.com/home?seriesId=55082369,https://dn-img-page.kakao.com/download/resource?kid=bGkJYI/hyEdjyT4fn/6RvkThGElY3iEhAqIgDxz0&filename=th2,카카오페이지,"['교사', '기간', '드라마', '사촌', '송지원']"
