,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
2829,칼데라,"강두식, 최해웅","#미스터리
","백두산의 재난으로부터 생존하기 위한 싸움이 시작된다! “백두산은 휴화산이 아니고 활화산이다.” 한국 최고의 지질학 권위자 최시윤 박사를 아내로 둔 전직 국정원요원 곽민은 현재 국제 수배 중이다. 다혈질인 성격 때문에 번번히 직장에서 짤리기 일쑤인 그에게 질린 최시윤 박사는 딸 혜진이를 데리고 미리 예정되어 있던 백두산 조사를 위해 떠난다 새 직장을 알아보던 곽민은 간첩혐의로 중국 공안에 붙잡힌 시윤의 소식을 듣게 되고 자신의 가족을 구하기 위해 중국으로 떠난다. 그를 기다리는 것은 중국 최고의 공안 리걸 그러나 가족을 찾기 위해 고군분투하는 곽민 앞에 백두산이 폭발의 조짐을 보이는데.....
",https://www.lezhin.com/ko/comic/caldera,https://ccdn.lezhin.com/v2/comics/6255635726467072/images/tall.jpg?updated=1530086332517&width=840,레진코믹스,"['백두산', '박사', '중국', '공안', '가족']"
2830,"인어가 사랑하는 방법, 사랑받는 방법",사오리,"#드라마
","8년 전, 바다에 빠진 소년 ‘리쿠’를 아름다운 인어소녀 ‘유즈키’가 구해낸다. 생명의 은인을 생각하며 어느덧 대학생이 된 ‘리쿠’의 품으로 돌아온 16살의 ‘유즈키’. 
‘리쿠’는 자기와 부부가 되어 달라는 ‘유즈키’의 고백에 동거를 시작하게 되는데··· 인어의 숙명에 괴로워하면서도 사랑을 키워나가는 두 사람의 판타지 로맨스♥
",https://www.lezhin.com/ko/comic/mermaids_love,https://ccdn.lezhin.com/v2/comics/5127013979652096/images/tall.jpg?updated=1464059251600&width=840,레진코믹스,"['리쿠', '달라', '대학생', '동거', '로맨스']"
2831,문센의 여왕,"박세림, 김진희","#드라마
","문화센터를 배경으로 펼쳐지는 로맨틱 중년 로맨스. 30대 아줌마가 문화센터에서 글쓰기 강좌를 배우면서 10대의 문학소녀 시절 감성을 다시 느끼게 되는데…. 문화센터에 모인 개성만점 캐릭터들이 펼치는 웃기고도 슬픈 썸씽 시츄에이션! 본격 중년을 위한 순정만화♥
",https://www.lezhin.com/ko/comic/queenofcenter,https://ccdn.lezhin.com/v2/comics/5963422284382208/images/tall.jpg?updated=1519354818386&width=840,레진코믹스,"['로맨스', '드라마', '문화센터', '글쓰기', '대의']"
2832,남수!,키우치 타츠야,"#학원#소년만화#스포츠#성장물
","청량하고 뜨거운 남자수영부가 온다!
부원 수 현재 세 명. 동호회로 떨어지기 직전인 남자 수영부.
남을 잘 챙기는 부장 슈헤이, 과묵하고 나사 빠진 나이스 보디 다이키,
말투는 여자 같아도 불타는 하트를 가진 하루미까지 2학년 세 명은 부원 확보란 사명과 함께 새 학기를 맞이한다!
그런 남자수영부에 입부 신청서를 들고 온 것은 수영 초보와 스포츠 만능 맥주병…?!
남자 수영부, 느슨하면서도 빠릿하게 활동 스타트!
DANSUI!
ⓒ TATSUYA KIUCHI 2013 / HAKUSENSHA, INC.
",https://www.lezhin.com/ko/comic/dansui,https://ccdn.lezhin.com/v2/comics/5040496302161920/images/tall.jpg?updated=1628833391571&width=840,레진코믹스,"['남자', '부원', '수영', '스포츠', '동호회']"
2833,박물관에 사는 남자,"샘새미, 한희원","#드라마#소설원작#역사#캠퍼스
","독립운동가 '비각 김도훈'을 오매불망 그리며 살던 역덕 영순! 
어느 날, 박물관에 재현된 비각의 집에 홀연히 나타난 남자는 본인을 김도훈이라 말하고...그를 보고 만지고 들을 수 있는 유일한 사람이 나라고?! 
박물관에 '사는' 남자와 '관리하는' 여자의 알콩달콩 로맨스, <박물관에 사는 남자>!
",https://www.lezhin.com/ko/comic/man_in_museum,https://ccdn.lezhin.com/v2/comics/5835341170016256/images/tall.jpg?updated=1627976828755&width=840,레진코믹스,"['관리', '본인', '독립운동가', '드라마', '나라고']"
2834,나의 신님,유메노 츠쿠시,"#로맨스#드라마#신#감동
","죄를 지어 영원히 소년의 모습으로 
살아가는 「선생님」과
어릴 적부터 「선생님」에게 애정을 품은 
대학생 카즈사.
하지만 카즈사 또한
어떠한 죄를 짊어지고 있었다―.
무정한 시간의 흐름 속에
언젠가 다가올 이별을
몸소 느끼면서도
오로지 「선생님」만을 생각하는 카즈사.
속삭이는듯한 그들의 이야기.
",https://www.lezhin.com/ko/comic/my_god,https://ccdn.lezhin.com/v2/comics/4563832963137536/images/tall.jpg?updated=1624261481262&width=840,레진코믹스,"['로맨스', '소년', '애정', '이별', '이야기']"
2835,브라혼 ~삼형제를 휘두르는 나~,란코,"#드라마
","겉보기엔 평범한 회사원이지만,
사실은 고향 지역 대지주의 외동딸인 이즈쿠라 스즈!!
남자의 재산, 지위와는 상관없이
정신을 못 차릴 정도의 연애를 하고 싶은 그녀였으나,
이제는 시간이 없다?!
그 이유란, 아버지가 어렸을 때부터 마음대로 골라둔 약혼자가 있다는 것!!
하지만 정해진 날짜에 아버지는 나타나지 않고,
""이미 스즈랑 만났을 텐데? 네 약혼자는 사토의 아들이야."" 라는 문자를 보내 오는데?!
내가 만난 사토 씨는 셋, 그 중 내 약혼자는 누구??
",https://www.lezhin.com/ko/comic/brahone_three_brothers,https://ccdn.lezhin.com/v2/comics/6654972817965056/images/tall.jpg?updated=1558505458530&width=840,레진코믹스,"['스즈', '겉보기', '남자', '드라마', '연애']"
2836,하네츠쿠 소녀,토우가라시 히데유,"#학원
","하네츠키가 유행하는 마을,
미요시노 마을로 전학 온 오가미 토우카.
여자 기숙사에서 알게 된 타카오와 함께
""하네츠키 부""에 입부하려고 하지만
폐부와 다름없는 상태가 되어 있었다.
일본에서 가장 뜨겁고 아름다운 스포츠,
하네츠키를 걸고 소녀의 청춘이 시작된다!!
",https://www.lezhin.com/ko/comic/hanethkugirl,https://ccdn.lezhin.com/v2/comics/5710334851022848/images/tall.jpg?updated=1449729591811&width=840,레진코믹스,"['하네츠키', '유행', '입부', '전학', '토우']"
2837,"손수 만드는 핸드메이드 생활, 시작했습니다",미야하라 미야코,"#일상
","히요리는 도쿄에서 태어난 도쿄 출신으로 광고 행사에서 근무하는 25살이다.
일에 쫓기던 그녀는 모처럼의 연휴를 이용해 나가노에 사는 친한친구를 찾아간다.
그 곳에는 풍부한 자연과 따뜻한 사람들, 조금은 불편한 슬로우 라이프가 있었다.
숨막히는 도쿄의 생활을 버리고 시골로 이사가기로 결심했지만, 그녀를 기다리고있던 것은

너덜너덜한 전셋집과 모든 가구를 하나부터 열까지 만드는 '핸드메이드 생활'.
도시인의 DIY한 시골살이가 시작된다!
",https://www.lezhin.com/ko/comic/handmade_life,https://ccdn.lezhin.com/v2/comics/5329238278340608/images/tall.jpg?updated=1618304669100&width=840,레진코믹스,"['살이', '도쿄', '가구', '가기', '결심']"
2838,레이디 앤 젠틀맨,"브로콜리로, 장소영","#드라마
","여름의 한복판에서 만난 동욱과 명희. 
재벌가 둘째 딸 명희와 시골 청년 동욱은 서로가 낯설기만 하다. 
하지만 만날수록 서로에게 빠져드는 두 사람은 숨 막힐 듯 설렌다. 
’너 아닌 다른 사람을 이렇게 사랑할 수 없을 거야.’
여름의 끝이 다가올수록 두 사람의 관계는…?
",https://www.lezhin.com/ko/comic/lady_n_gentleman,https://ccdn.lezhin.com/v2/comics/5690029114261504/images/tall.jpg?updated=1564377914879&width=840,레진코믹스,"['만난', '복판', '서로', '시골', '재벌']"
