,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
11,팔이피플,매미 / 희세,"스토리, 드라마","&lt;마스크걸&gt;, &lt;위대한 방옥숙&gt; 매미/희세 작가의 신작!
SNS에서 육아용품 파는 평범한 유부녀 박주연, 그녀의 고등학교 동창인 김예희는 팔로워 70만의 셀럽으로 엄청난 부와 명성을 누리는 중이다.
박주연은 김예희를 미워하는 동시에 집착하고 있는데, 과연 그녀는 김예희의 과거를 폭로하고 셀럽으로 올라설 수 있을까?",https://comic.naver.com/webtoon/list?titleId=774863&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/774863/thumbnail/thumbnail_IMAG06_56ecb055-dc10-43e6-bfa2-4a07fd1c7f30.jpg,네이버 웹툰,"['셀럽', '명성', '부와', '옥숙', '유부녀']"
12,만렙돌파,"성불예정,홍실 / 미노","스토리, 판타지","알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉.
그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 
만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",https://comic.naver.com/webtoon/list?titleId=759940&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/759940/thumbnail/thumbnail_IMAG06_8c00c702-fb46-43c4-9347-564fb94fc3d4.jpg,네이버 웹툰,"['각성', '몬스터', '오류로', '가득', '사이']"
13,잔불의 기사,환댕,"스토리, 판타지","유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다.
천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만,
동생의 복수를 위해 '강함'을 연기하기로 결심했다.
약해빠진 나는 복수에 성공할 수 있을까.",https://comic.naver.com/webtoon/list?titleId=768536&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/768536/thumbnail/thumbnail_IMAG06_5474ea13-f7bb-4fac-ad6c-be5cb46dcf26.jpg,네이버 웹툰,"['동생', '가족', '살해', '유망', '이자']"
14,리턴 투 플레이어,엄키 / 세혼 / 인덱스,"스토리, 판타지","어느 날, 게임이 되어버린 세상.
갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어  퀘스트를 달성해야 한다!
인류의 종말에서 회귀한 2회차 플레이어, 김세한.
그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까!",https://comic.naver.com/webtoon/list?titleId=752414&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/752414/thumbnail/thumbnail_IMAG06_2d132db2-c6ab-400e-992e-8e0a229cf96e.jpg,네이버 웹툰,"['세상', '플레이어', '달성', '몬스터', '퀘스트']"
15,요리GO,HO9,"스토리, 드라마","요리고등학교 졸업 후 산에서 수련을 마친 한별.
특급 호텔 레스토랑에 인턴으로 취업하게 되지만
엄하기로 소문난 호텔 주방에서 다양한 사건들에 휘말리게 되는데...
과연 요리천재 한별은 이 어려움을 어떻게 헤쳐나갈 수 있을까?",https://comic.naver.com/webtoon/list?titleId=703849&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/703849/thumbnail/thumbnail_IMAG06_5cd7e5cc-2dac-4b6d-9ddd-c6f87af8a03f.jpg,네이버 웹툰,"['레스토랑', '말리', '어려움', '고등학교', '수련']"
16,다시쓰는 연애사,최경민 / 영모,"스토리, 로맨스","대학 시절 구 여친 ‘한서리’와 함께 교통사고를 당한 ‘이제야’. 
눈을 떠보니 10년 전 대학생 시절로 돌아와 버렸다. 그것도 서로의 몸이 뒤바뀐 채로.
제야는 이곳에서 실패했던 서리와의 연애를 다시 써보고 싶다.
""제야야. 날 다시 만나고 싶어? 그럼 날 다시 꼬셔봐.""
과연 제야는 서리의 몸으로 서리를 꼬실 수 있을까?",https://comic.naver.com/webtoon/list?titleId=793274&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/793274/thumbnail/thumbnail_IMAG06_4b93c706-03ed-4451-a4f6-52910e7c9364.jpg,네이버 웹툰,"['서리', '교통사고', '당한', '대학', '대학생']"
17,똑 닮은 딸,이담,"스토리, 스릴러","'우리 엄마가 살인마인 것 같다.' 
성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다.
그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다.
자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러!
2020 지상최대공모전 2기 우수상 수상작.",https://comic.naver.com/webtoon/list?titleId=774866&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/774866/thumbnail/thumbnail_IMAG06_b86de9b8-992b-41dc-9f7e-769b60906136.jpg,네이버 웹툰,"['자식', '엄마', '소명', '기준', '단정']"
18,더블클릭,"김장훈,박수봉 / 박수봉","스토리, 액션","악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호.
서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다!
지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다.
오랜만에 게임을 해도 살아있는 감각. 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다.
강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기!",https://comic.naver.com/webtoon/list?titleId=769663&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/769663/thumbnail/thumbnail_IMAG06_84d24ca6-d5f6-4cf2-9841-5d00a34e4970.jpg,네이버 웹툰,"['게임', '랭킹', '지호', '난이도', '세계']"
19,히어로메이커,빤쓰,"옴니버스, 판타지",왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~,https://comic.naver.com/webtoon/list?titleId=21815&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/21815/thumbnail/thumbnail_title_21815_125x101.gif,네이버 웹툰,"['만장', '소원', '결심', '눈물', '만들기']"
20,칼가는 소녀,오리,"에피소드, 드라마","치사율 100%의 인싸 희귀병 소녀 '사랑'
누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'
두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.
네이버웹툰 최강자전 18년 대표작.",https://comic.naver.com/webtoon/list?titleId=730174&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/730174/thumbnail/thumbnail_IMAG06_a12eef31-ece4-413d-872b-352498adc4ae.jpg,네이버 웹툰,"['두려움', '드라마', '복수', '사랑', '세상']"
21,경비실에서 안내방송 드립니다,수하 / 벌크업,"스토리, 스릴러","인적이 드문 산속 아파트에 이사 온 백성한.
어느 날 갑자기 옆집 이웃이 돌변해 아파트를 폐쇄하고 사람들을 죽이기 시작한다. 
백성한과 아파트 주민들은 경비실을 장악한 살인마의 주도 아래 목숨을 건 데스게임에 참여하게 되고, 
사람들의 살아남기 위한 몸부림이 시작된다.",https://comic.naver.com/webtoon/list?titleId=792780&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/792780/thumbnail/thumbnail_IMAG06_5fd3f0d7-cdf4-4433-b60c-10d7c942a4af.jpg,네이버 웹툰,"['시작', '백성', '아파트', '경비실', '몸부림']"
22,홍천기,LICO / 정은궐,"스토리, 로맨스","백유화단의 천방지축 화공 홍천기(洪天起)는 동짓날 밤, 하늘에서 떨어진 남자를 줍게 된다.
이 세상 사람이 아닌 듯 고운 외모의 남자를 보며 홍천기는 그가 자신의 운명의 사람이라 믿는다.
어린 시절 알 수 없는 사고에 휘말려 맹인이 된 남자 하람.
온통 붉은색밖에 보이지 않는 그는 홍천기를 만난 후 자신의 눈을 둘러싼 비밀을 알게 되는데…….",https://comic.naver.com/webtoon/list?titleId=778748&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/778748/thumbnail/thumbnail_IMAG06_c812f571-05e6-4b12-8bb5-abd2062d792c.jpg,네이버 웹툰,"['남자', '천기', '만난', '보이지', '사고']"
